Severity,Issue,FANS Row,FANS Name,System ID,System Name,Expected Pass Tier,System Pass Tier,Expected Pass Subcategory,System Award Category,System Champion Category,Pass Slug,Unique Pass ID,View Count,First Checked In At,Suggested Correction
High,Pass tier/category differs; Missing pass PDF,67,Genelia Deshmukh,usr_557d7a08da204daabaf9,Genelia Deshmukh,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Artist & Literature,Artist & Literature,Artist & Literature,genelia-deshmukh,e650031e-0ba6-475b-8084-d76c3bc32164,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,68,Hon'ble Shri Gulabrao Raghunath Patil,usr_a26c410093184100a85c,Gulabrao Raghunath Patil,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Justice & Peace,Justice & Peace,Justice & Peace,hon-ble-shri-gulabrao-raghunath-patil,ec47a769-6eb7-4dc0-b306-1bd27c880831,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,69,Mr Harbhajan Singh,usr_e3f435d12704426ca7b5,Harbhajan Singh,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Sports,Sports,Sports,mr-harbhajan-singh,64a60322-57a1-4504-ad79-e18a010cba76,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,70,Mr Harsh Shah,usr_6580d4f6e3704e989d49,Harsh Shah,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,mr-harsh-shah,c22ce31e-8a28-495b-af8f-c6024a29045e,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,71,Harsimarbir Singh,usr_f271298ec6bd434ca644,Harsimarbir Singh,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,harsimarbir-singh,883a66ce-a6d6-4ebd-be31-ff0154ba43ad,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,72,Mr Hormazd Godrej,usr_a3c828c8f1994d369767,Hormazd Godrej,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,mr-hormazd-godrej,7685790a-1ff8-41f7-a94d-a4c2c7361762,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,73,Hussain Mansuri,usr_af3fab5b570144968e33,Hussain Mansuri,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Peace,Peace,Peace,hussain-mansuri,ba902438-1bc7-4054-90b5-f8662058fc71,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,74,Molvi Imran Reza Ansari,usr_b3fcc4758ddc437cb748,Imran Reza Ansari,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Justice & Peace,Justice & Peace,Justice & Peace,molvi-imran-reza-ansari,cfa8715e-d636-4748-8a9e-48ab21b4a9fc,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,75,Dr Jaan Nissar Lone,usr_48f27b59eec74a1498fc,Jaan Nissar Lone,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,dr-jaan-nissar-lone,a7f3baf0-9d15-40b4-9961-c09b57e6dead,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,76,Mr Jaaved Jaaferi,usr_e40708210d5445a09514,Jaaved Jaaferi,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Artist & Literature,Artist & Literature,Artist & Literature,mr-jaaved-jaaferi,2652249b-7ee1-4911-a87e-89741a3d4f95,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,77,Hon'ble Shri Jaykumar Jitendrasinh Rawal,usr_de00e94b4fd34518857a,Jaykumar Jitendrasinh Rawal,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Justice & Peace,Justice & Peace,Justice & Peace,hon-ble-shri-jaykumar-jitendrasinh-rawal,ba4e431a-816d-4867-a362-9763f625bb18,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,78,Jayshree Pariwal,usr_h0tovxsokb2dl29ctjvvjnyb,Jayshree Pariwal,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,jayshree-pariwal,317d9a66-09ac-42e2-a8a2-8853562e7cbb,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,79,Jc choudhary,usr_kxvbwa69qzxzvd9px47ovw3y,Jc choudhary,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,jc-choudhary,35a9b90d-c1c8-4b18-801c-e457e06432f8,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,80,Mr Jesus Lall,usr_a39662cf466b49d3935c,Jesus Lall,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Education,Education,Education,mr-jesus-lall,d5fad76f-b562-4491-b364-279a4d94c990,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,81,Mr. Juzar Khorakiwala,usr_a8bcb5fe075e40599cff,Mr. Juzar Khorakiwala,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,mr-juzar-khorakiwala,db224d30-d42e-4827-8cf3-86efe2206e77,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,82,HE K.L. Ganju,usr_7e70e14e1a12466e92f5,K. L. Ganju,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Justice & Peace,Justice & Peace,Justice & Peace,mr-k-l-ganju,acc86974-814d-4a77-b11f-b1c4da54489a,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,83,Mr Kapil Jaykumar Pathare,usr_12d5283025a54e778c64,Kapil Jaykumar Pathare,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,mr-kapil-jaykumar-pathare,9eda87de-55cc-4980-89e0-95a6db9c4171,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,84,Dr Kirti Sisodia,usr_c4ed3e5df7274eb5a3e5,Kirti Sisodia,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Influencers,Influencers,Influencers,dr-kirti-sisodia,255b003e-3975-482b-986a-36a8b183938d,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
